"date","datetime","time","open","high","low","close","volumefrom","volumeto"
2017-10-01,2017-10-01T00:00:00Z,1506816000,5528.35,5628.82,5418.03,5565.36,1563.86,8570737.89
2017-10-02,2017-10-02T00:00:00Z,1506902400,5565.36,5755.93,5565.25,5649.6,813.93,4592719.43
2017-10-03,2017-10-03T00:00:00Z,1506988800,5649.6,5737.82,5448.78,5536.03,840.03,4676643.81
2017-10-04,2017-10-04T00:00:00Z,1507075200,5536.03,5638.2,5372.17,5427.8,622.22,3407718.81
2017-10-05,2017-10-05T00:00:00Z,1507161600,5427.8,5679.66,5317.96,5577.78,771.18,4216352.53
2017-10-06,2017-10-06T00:00:00Z,1507248000,5577.78,5761.6,5535.33,5613.97,1517.77,8498362.35
2017-10-07,2017-10-07T00:00:00Z,1507334400,5613.97,5703.76,5538.71,5676.53,5187.04,28939042.21
2017-10-08,2017-10-08T00:00:00Z,1507420800,5676.53,5918.47,5655.23,5887.35,5587.72,32037480.11
2017-10-09,2017-10-09T00:00:00Z,1507507200,5887.35,6229.43,5826.03,6143.59,1894.62,11356383.39
2017-10-10,2017-10-10T00:00:00Z,1507593600,6143.59,6284.54,6056.65,6118.55,1829.35,11295565.01
2017-10-11,2017-10-11T00:00:00Z,1507680000,6118.55,6252.97,6038.28,6175.61,1276.86,7862191.99
2017-10-12,2017-10-12T00:00:00Z,1507766400,6175.61,6979.62,6148.92,6979.61,2121.31,13930555.11
2017-10-13,2017-10-13T00:00:00Z,1507852800,6979.61,7438.95,6916.44,7179.35,4524.84,32469534.37
2017-10-14,2017-10-14T00:00:00Z,1507939200,7179.35,7394.41,7096.83,7361.65,2860.36,20527143.52
2017-10-15,2017-10-15T00:00:00Z,1508025600,7361.65,7464.2,6920.54,7226.76,731.7,5246492.11
2017-10-16,2017-10-16T00:00:00Z,1508112000,7226.76,7401.54,7104.71,7401.51,340.83,2472851.32
2017-10-17,2017-10-17T00:00:00Z,1508198400,7401.51,7402.01,7144.42,7247.25,396.85,2883117.17
2017-10-18,2017-10-18T00:00:00Z,1508284800,7255.67,7268.59,6610.66,7241.74,640.99,4458768.11
2017-10-19,2017-10-19T00:00:00Z,1508371200,7263.28,7344.62,7086.88,7297.91,803.67,5783155.07
